Active on port: 4000
black
[75, 54, 19]
('P, I, D, (E), (T) --->', 15.162752265930177, 29.566811109805723, 0.1319378356933587, 71.22727272727273, 1551058441.989384)
('P, I, D, (E), (T) --->', 14.186023063659668, 28.96942861856253, -0.9767292022705085, 71.53636363636363, 1551058442.195777)
('P, I, D, (E), (T) --->', 13.231719635009766, 27.716433944291033, -0.9543034286499026, 72.63636363636364, 1551058442.449522)
('P, I, D, (E), (T) --->', 15.093589828491211, 28.951806800636728, 1.8618701934814457, 74.12727272727273, 1551058442.687813)
('P, I, D, (E), (T) --->', 17.286643501281738, 31.762546901600103, 2.1930536727905263, 74.2090909090909, 1551058442.862118)
('P, I, D, (E), (T) --->', 17.760653778076172, 33.64192722887623, 0.4740102767944343, 74.35454545454546, 1551058443.067255)
('P, I, D, (E), (T) --->', 15.931618148803711, 32.75258176324182, -1.829035629272461, 72.9, 1551058443.296319)
('P, I, D, (E), (T) --->', 12.4875, 28.86379088162091, -3.4441181488037103, 70.60909090909091, 1551058443.558911)
('P, I, D, (E), (T) --->', 10.581362594604492, 25.01325803541495, -1.9061374053955085, 70.32727272727273, 1551058443.736996)
('P, I, D, (E), (T) --->', 11.792250205993653, 24.298879223701128, 1.2108876113891611, 69.97272727272727, 1551058443.955862)
('P, I, D, (E), (T) --->', 10.323, 22.472439611850564, -1.469250205993653, 68.78181818181818, 1551058444.160459)
('P, I, D, (E), (T) --->', 12.4875, 23.723719805925285, 2.1645000000000003, 68.15454545454546, 1551058444.363586)
('P, I, D, (E), (T) --->', 14.150282066345216, 26.01214196930786, 1.6627820663452155, 67.78181818181818, 1551058444.563133)
('P, I, D, (E), (T) --->', 10.11153158569336, 23.117602570347287, -4.038750480651856, 67.9090909090909, 1551058444.737501)
('P, I, D, (E), (T) --->', 2.6673383331298828, 14.226139618303527, -7.444193252563477, 68.2, 1551058444.961643)
('P, I, D, (E), (T) --->', -8.272795989990234, -1.1597261808384705, -10.940134323120116, 71.69090909090909, 1551058445.111732)
('P, I, D, (E), (T) --->', -16.403979583740234, -16.98384267415947, -8.13118359375, 75.17272727272727, 1551058445.344097)
('P, I, D, (E), (T) --->', -28.253771575927736, -36.745692913007474, -11.849791992187502, 81.26363636363637, 1551058445.536945)
