Active on port: 4000
init camera on /dev/video0
P, I, D, (E), (T) ---> 36.78695565367042 68.81446925304087 0.6052140498816811 36.642857142857146 1546292072.2473128
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.279624
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.3139565
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.3461645
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.3782072
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.4137738
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.4461718
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.4791293
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.5139544
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.5456991
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.5794811
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.614019
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.6482904
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.6796584
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.7138858
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.7463186
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.7780478
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.8137014
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.8462024
P, I, D, (E), (T) ---> 30.19855467175188 64.60578929827231 4.752690246170744 36.035714285714285 1546292072.879817
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.9137394
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.9457865
P, I, D, (E), (T) ---> 0 0 0 0 1546292072.9796662
P, I, D, (E), (T) ---> 0 0 0 0 1546292073.0140107
P, I, D, (E), (T) ---> 33.22011971215875 65.52301436129491 5.906140258377775 38.142857142857146 1546292073.045971
P, I, D, (E), (T) ---> 0 0 0 0 1546292073.0778954
P, I, D, (E), (T) ---> 0 0 0 0 1546292073.1136923
P, I, D, (E), (T) ---> 0 0 0 0 1546292073.145754
